counter,senderresponse1a,senderresponse1b,senderresponse2a,senderresponse2b,senderresponse3a,senderresponse3b,senderresponse4a,senderresponse4b,senderresponse5a,senderresponse5b,senderresponse6a,senderresponse6b,senderresponse7a,senderresponse7b,senderresponse8a,senderresponse8b,senderresponse9a,senderresponse9b,senderresponse10a,senderresponse10b,senderresponse11a,senderresponse11b
1,2,73,1000,1000,1,1000,1,56,1000,1000,1000,1000,1,1000,1,89,2,70,1,75,2,1000
2,2,100,1,1000,1,1000,2,69,2,99,1,90,2,100,1,74,1,1000,1,100,1,70
3,1,100,1,55,2,1000,2,70,2,89,2,87,1000,1000,1000,1000,1000,1000,1,100,1000,1000
4,1000,1000,2,1000,2,1000,1,1000,1,1000,1000,1000,1,1000,1,91,1,1000,1,50,2,50
5,1,100,1000,1000,1,1000,2,80,2,1000,2,1000,1,50,1,90,1,1000,2,59,1,100
6,2,54,1,100,2,1000,1,98,1,1000,2,1000,1,1000,1,1000,2,72,1000,1000,2,1000
7,2,1000,2,86,2,1000,2,1000,2,1000,2,1000,2,86,1,1000,1,1000,1,80,2,81
8,1,76,1,1000,1,1000,2,68,2,1000,2,1000,1,81,1,1000,1000,1000,1000,1000,1,100
9,1,1000,1,98,1000,1000,1000,1000,1,100,1,1000,1,60,2,75,1,1000,2,1000,2,61
10,2,50,2,63,1000,1000,1,1000,2,84,2,90,1,1000,1,100,1,91,1,100,1000,1000
11,2,95,1,1000,2,1000,2,78,2,69,2,75,1000,1000,1,86,2,100,1,60,1,75
12,1,80,1,66,2,90,1000,1000,1,75,1,100,1000,1000,1,76,2,86,1000,1000,1,1000
13,1000,1000,1,66,1000,1000,1,1000,1,69,1,100,1000,1000,1,64,1,100,2,1000,1,1000
14,1,100,1,1000,2,69,2,100,1,81,1,75,1000,1000,2,88,1,95,2,93,1000,1000
15,1000,1000,2,100,1,1000,2,82,1,1000,1,63,1,96,1,91,2,1000,1000,1000,2,1000
16,2,51,2,96,1,89,2,1000,1000,1000,2,1000,1,1000,2,69,2,97,1,74,2,93
17,2,100,1,1000,2,1000,1,1000,1,73,1,84,1000,1000,1,90,2,77,1,50,1,100
18,1,100,2,64,2,94,1000,1000,2,91,1000,1000,2,50,1,1000,1000,1000,1000,1000,2,1000
19,2,77,1000,1000,2,75,2,88,1,79,2,1000,1000,1000,2,84,1,1000,2,1000,2,80
20,1,1000,2,1000,2,68,2,1000,1,99,1,1000,1,50,2,100,1,53,1,1000,2,1000
21,2,1000,2,73,2,1000,2,87,1,100,2,73,1,100,1,51,2,1000,1000,1000,2,74
22,1,50,2,100,2,55,1,1000,2,1000,1,84,1000,1000,1,1000,2,55,2,1000,2,75
23,2,100,1,93,2,100,1,1000,2,94,2,54,2,1000,1,50,2,1000,2,74,1,100
24,2,100,2,99,1,58,1,1000,1000,1000,1,1000,1,1000,1,100,1000,1000,1,97,1,70
