counter,senderresponse1a,senderresponse1b,senderresponse2a,senderresponse2b,senderresponse3a,senderresponse3b,senderresponse4a,senderresponse4b,senderresponse5a,senderresponse5b,senderresponse6a,senderresponse6b,senderresponse7a,senderresponse7b,senderresponse8a,senderresponse8b,senderresponse9a,senderresponse9b,senderresponse10a,senderresponse10b,senderresponse11a,senderresponse11b
1,1,1000,2,1000,1000,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,1,1000,2,1000,1,1000
2,2,1000,2,1000,2,1000,2,1000,1,1000,1000,1000,1,1000,2,1000,2,1000,1,1000,2,1000
3,1,1000,1,1000,1,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000
4,2,1000,1,1000,2,1000,1,1000,2,1000,1000,1000,1,1000,1,1000,1,1000,2,1000,2,1000
5,2,1000,1,1000,2,1000,2,1000,1,1000,2,1000,2,1000,2,1000,1,1000,1,1000,2,1000
6,2,1000,2,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000,1000,1000,1,1000,2,1000
7,1,1000,1,1000,2,1000,2,1000,1000,1000,1,1000,2,1000,1,1000,1000,1000,1000,1000,2,1000
8,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000,1,1000,1,1000,1000,1000,1000,1000,2,1000
9,2,1000,2,1000,1000,1000,2,1000,2,1000,1,1000,1000,1000,1000,1000,2,1000,1,1000,2,1000
10,2,1000,2,1000,2,1000,1000,1000,1,1000,1000,1000,1,1000,1000,1000,2,1000,1,1000,1000,1000
11,2,1000,1000,1000,1,1000,1000,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,2,1000,1,1000
12,2,1000,1000,1000,2,1000,1,1000,1,1000,1,1000,1000,1000,1,1000,1,1000,1,1000,2,1000
13,1000,1000,1,1000,2,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1,1000,2,1000,1,1000
14,1,1000,2,1000,2,1000,1,1000,1,1000,2,1000,2,1000,1,1000,2,1000,1,1000,1,1000
15,1000,1000,1,1000,1,1000,1,1000,1,1000,2,1000,1,1000,2,1000,2,1000,2,1000,2,1000
16,2,1000,1,1000,2,1000,2,1000,1,1000,1000,1000,1000,1000,1,1000,1000,1000,2,1000,2,1000
17,2,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,1,1000,2,1000
18,1,1000,1,1000,2,1000,2,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1000,1000
19,2,1000,1000,1000,1000,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,1000,1000,1,1000,2,1000
20,1,1000,2,1000,1000,1000,1,1000,1,1000,2,1000,1,1000,2,1000,1000,1000,2,1000,2,1000
21,1000,1000,2,1000,2,1000,2,1000,1,1000,2,1000,2,1000,1,1000,1,1000,1,1000,2,1000
22,2,1000,1,1000,2,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,1,1000,2,1000,1000,1000
23,1,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1,1000,1,1000,2,1000,2,1000,1000,1000
24,2,1000,1,1000,2,1000,2,1000,2,1000,2,1000,2,1000,1,1000,2,1000,1,1000,2,1000
25,2,1000,1,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,1,1000,2,1000,2,1000,2,1000
26,2,1000,1,1000,1,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1000,1000,2,1000,2,1000
27,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000
28,2,1000,1,1000,2,1000,2,1000,2,1000,1000,1000,1,1000,1,1000,1000,1000,1000,1000,1,1000
29,2,1000,1,1000,2,1000,2,1000,1,1000,2,1000,2,1000,1,1000,2,1000,1,1000,1000,1000
30,1,1000,1,1000,2,1000,1,1000,1,1000,1,1000,2,1000,2,1000,1000,1000,1000,1000,1000,1000
31,2,1000,1,1000,1000,1000,2,1000,1,1000,2,1000,2,1000,2,1000,2,1000,1000,1000,2,1000
32,2,1000,1,1000,1,1000,1,1000,1,1000,2,1000,1000,1000,2,1000,2,1000,2,1000,1,1000
33,1,1000,2,1000,1,1000,2,1000,1,1000,2,1000,2,1000,1,1000,1,1000,1,1000,2,1000
34,2,1000,2,1000,1,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1,1000,2,1000,1000,1000
35,1,1000,2,1000,1,1000,1000,1000,1,1000,2,1000,1,1000,2,1000,1,1000,2,1000,2,1000
36,1,1000,2,1000,1000,1000,2,1000,1000,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1000,1000
37,1,1000,1000,1000,2,1000,1,1000,1,1000,1,1000,1,1000,2,1000,2,1000,1000,1000,2,1000
38,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000,2,1000,1,1000,2,1000,2,1000
39,2,1000,2,1000,1,1000,1000,1000,1000,1000,1000,1000,1,1000,1,1000,1,1000,1,1000,1000,1000
40,1000,1000,2,1000,2,1000,1000,1000,1,1000,2,1000,1000,1000,1,1000,1,1000,1000,1000,2,1000
41,1,1000,2,1000,2,1000,1,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000
42,2,1000,2,1000,2,1000,1000,1000,2,1000,2,1000,1,1000,1000,1000,2,1000,2,1000,1,1000
43,2,1000,2,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000,2,1000,2,1000
44,1,1000,1,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,2,1000
45,2,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000,2,1000,1,1000
46,1000,1000,1000,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000,1000,1000,1,1000,2,1000
47,1,1000,2,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,2,1000,2,1000,2,1000
48,1,1000,2,1000,2,1000,2,1000,1000,1000,2,1000,1000,1000,2,1000,2,1000,2,1000,1000,1000
49,1,1000,1,1000,1000,1000,1000,1000,1,1000,1000,1000,1,1000,2,1000,1,1000,1000,1000,2,1000
50,2,1000,1,1000,1000,1000,2,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,2,1000,2,1000
51,2,1000,1000,1000,1000,1000,1000,1000,2,1000,1,1000,1,1000,1000,1000,1,1000,1,1000,2,1000
52,1,1000,2,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000
53,1000,1000,1,1000,1000,1000,2,1000,1,1000,2,1000,1,1000,1000,1000,1,1000,1000,1000,2,1000
54,2,1000,2,1000,1,1000,1,1000,2,1000,2,1000,1,1000,1,1000,2,1000,2,1000,2,1000
55,1,1000,1000,1000,1,1000,1000,1000,1,1000,1000,1000,2,1000,1,1000,1000,1000,1000,1000,1,1000
56,1000,1000,2,1000,2,1000,1000,1000,1,1000,2,1000,1,1000,1000,1000,2,1000,1,1000,1,1000
57,2,1000,2,1000,1,1000,2,1000,1,1000,1,1000,1000,1000,2,1000,1,1000,1,1000,2,1000
58,2,1000,2,1000,2,1000,1000,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1,1000,1000,1000
59,1,1000,1000,1000,2,1000,1,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,2,1000,1,1000
60,1,1000,1000,1000,1,1000,1,1000,1,1000,1,1000,1000,1000,2,1000,2,1000,1,1000,2,1000
61,1,1000,1,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1,1000,1,1000
62,1,1000,2,1000,2,1000,2,1000,1,1000,2,1000,1000,1000,1,1000,1,1000,1,1000,1000,1000
63,2,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1,1000,2,1000,1000,1000,1,1000,1000,1000
64,2,1000,1000,1000,2,1000,1,1000,1,1000,2,1000,1,1000,2,1000,1,1000,1,1000,2,1000
65,2,1000,1,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,2,1000,2,1000,2,1000
66,2,1000,1,1000,2,1000,2,1000,2,1000,2,1000,1000,1000,2,1000,2,1000,1,1000,2,1000
67,1,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,1,1000,2,1000,1,1000,1,1000,2,1000
68,2,1000,1,1000,1,1000,2,1000,1,1000,1000,1000,1,1000,1,1000,2,1000,1,1000,1,1000
69,1000,1000,1,1000,1000,1000,2,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1000,1000
70,2,1000,1,1000,2,1000,1000,1000,1,1000,2,1000,2,1000,1,1000,1000,1000,1,1000,1,1000
71,1,1000,1,1000,1,1000,1,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1000,1000,2,1000
72,1,1000,1000,1000,1,1000,2,1000,2,1000,1,1000,1,1000,2,1000,1000,1000,1,1000,2,1000
73,2,1000,2,1000,1,1000,2,1000,1,1000,1,1000,2,1000,1,1000,1000,1000,2,1000,1000,1000
74,1,1000,2,1000,2,1000,2,1000,2,1000,2,1000,1,1000,1,1000,1000,1000,1,1000,1000,1000
75,2,1000,1000,1000,2,1000,1,1000,1,1000,1000,1000,1000,1000,2,1000,1000,1000,1,1000,2,1000
76,1000,1000,1,1000,1000,1000,1000,1000,1,1000,1000,1000,1,1000,1,1000,1000,1000,1,1000,1000,1000
77,1000,1000,1000,1000,1000,1000,2,1000,1000,1000,1000,1000,2,1000,1000,1000,2,1000,1,1000,1,1000
78,1000,1000,1000,1000,2,1000,1000,1000,1,1000,2,1000,1,1000,1,1000,1,1000,1000,1000,2,1000
