counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
1,2.0,9.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,81.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,78.0
2,1.0,1000.0,2.0,89.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,70.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1.0,1000.0,1000.0,1000.0
3,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,75.0,2.0,62.0,1.0,26.0,1.0,1000.0,1.0,1000.0,2.0,45.0,1000.0,1000.0
4,1.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,99.0,1000.0,1000.0,2.0,1000.0,2.0,1000.0,1.0,36.0
5,1.0,1000.0,2.0,25.0,2.0,100.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,92.0,2.0,72.0,1000.0,1000.0
6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,87.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,78.0
7,2.0,89.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,94.0,1.0,72.0
8,1.0,75.0,2.0,65.0,1000.0,1000.0,1.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0
9,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,9.0,1.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0
10,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,2.0,1000.0,2.0,1000.0,1.0,90.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
11,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,2.0,56.0,1.0,28.0,1000.0,1000.0,1000.0,1000.0,1.0,93.0,1.0,72.0
12,2.0,15.0,1000.0,1000.0,1.0,93.0,1000.0,1000.0,1000.0,1000.0,2.0,0.0,1000.0,1000.0,1000.0,1000.0,2.0,73.0,1.0,39.0,1000.0,1000.0
